participant_id,item_id,trial,item_category,noise_db,predictability,rt_ms
P04,W07,7,concrete,55.54,0.547,485.9
P04,W08,8,concrete,63.03,0.539,777.6
P04,W09,9,concrete,46.16,0.368,734.8
P04,W10,10,concrete,,0.577,373.5
P04,W11,11,concrete,64.63,0.459,878.1
P04,W12,12,concrete,55.92,0.707,964.5
P04,W13,13,abstract,35.03,0.26,1068.2
P04,W14,14,abstract,44.62,0.213,426.5
P04,W15,15,abstract,74.81,0.112,959.1
P04,W16,16,abstract,66.09,0.249,681.9
P04,W17,17,abstract,76.79,0.125,1220.2
P04,W18,18,abstract,33.16,0.421,814.1
P04,W19,19,abstract,56.68,0.396,569.1
P04,W20,20,abstract,-30.0,0.458,794.6
P04,W21,21,abstract,35.24,0.352,460.1
P04,W22,22,abstract,63.3,0.294,699.8
P04,W23,23,abstract,64.73,0.496,99999.0
P04,W24,24,abstract,55.15,0.666,422.2
P05,W01,1,concrete,65.86,0.166,560.8
P05,W02,2,concrete,54.5,0.266,551.3
P05,W03,3,concrete,34.68,0.152,525.2
P05,W04,4,concrete,65.7,0.514,568.1
P05,W05,5,concrete,,0.729,456.8
P05,W06,6,concrete,75.55,0.612,581.3
P05,W07,7,concrete,73.87,0.373,473.8
P05,W08,8,concrete,74.99,0.615,548.2
P05,W09,9,concrete,44.19,0.908,330.7
P05,W10,10,concrete,54.38,0.698,301.0
P05,W11,11,concrete,55.74,0.629,433.1
P05,W12,12,concrete,44.47,0.651,947.1
P05,W13,13,abstract,35.21,0.773,708.6
P05,W14,14,abstract,75.3,0.506,374.9
P05,W15,15,abstract,44.29,0.625,607.4
P05,W16,16,abstract,66.44,0.719,654.7
P05,W17,17,abstract,44.73,0.499,655.4
P05,W18,18,abstract,36.51,0.603,1020.2
P05,W19,19,abstract,56.14,0.454,621.6
P05,W20,20,abstract,43.25,0.738,386.7
P05,W21,21,abstract,34.83,0.612,422.9
P05,W22,22,abstract,67.43,0.063,713.5
P05,W23,23,abstract,34.77,0.652,571.1
P05,W24,24,abstract,65.4,0.678,501.8
P06,W01,1,concrete,66.38,0.185,915.6
P06,W02,2,concrete,53.93,0.512,645.6
P06,W03,3,concrete,65.04,0.537,779.0
P06,W04,4,concrete,77.34,0.77,717.9
P06,W05,5,concrete,38.82,0.716,587.2
P06,W06,6,concrete,45.52,0.328,99999.0
P06,W07,7,concrete,55.69,0.581,661.2
P06,W08,8,concrete,33.27,0.799,526.1
P06,W09,9,concrete,54.7,0.453,559.0
P06,W10,10,concrete,35.27,0.13,0.0
P06,W11,11,concrete,75.17,0.472,1130.7
P06,W12,12,concrete,66.6,0.21,665.3
P06,W13,13,abstract,65.15,0.435,877.5
P06,W14,14,abstract,45.61,0.434,839.5
P06,W15,15,abstract,55.86,0.827,844.4
P06,W16,16,abstract,55.84,0.223,466.0
P06,W17,17,abstract,34.23,0.277,682.7
P06,W18,18,abstract,65.31,0.596,897.9
P06,W19,19,abstract,46.4,0.318,697.7
P06,W20,20,abstract,33.28,0.365,388.0
P06,W21,21,abstract,44.97,0.795,472.4
P06,W22,22,abstract,76.3,0.604,648.4
P06,W23,23,abstract,46.27,0.313,616.5
P06,W24,24,abstract,72.97,0.663,477.5
P07,W01,1,concrete,,0.649,663.4
P07,W02,2,concrete,34.8,0.903,401.3
P07,W03,3,concrete,34.62,0.626,734.2
P07,W04,4,concrete,73.59,0.252,690.2
P07,W05,5,concrete,73.5,0.711,611.8
P07,W06,6,concrete,55.44,0.537,843.7
P07,W07,7,concrete,66.61,0.633,761.5
P07,W08,8,concrete,56.34,0.3,816.4
P07,W09,9,concrete,65.13,0.403,845.8
P07,W10,10,concrete,34.92,0.332,559.3
P07,W11,11,concrete,54.92,0.437,465.6
P07,W12,12,concrete,44.73,0.604,551.7
P07,W13,13,abstract,43.73,0.554,1053.3
P07,W14,14,abstract,67.52,0.663,582.5
P07,W15,15,abstract,55.3,0.734,496.5
P07,W16,16,abstract,45.72,0.745,-30.0
P07,W17,17,abstract,75.86,0.341,1018.8
P07,W18,18,abstract,66.23,0.326,1642.3
P07,W19,19,abstract,0.0,0.689,704.3
P07,W20,20,abstract,52.99,0.533,529.2
P07,W21,21,abstract,34.72,0.095,539.4
P07,W22,22,abstract,44.37,0.177,587.5
P07,W23,23,abstract,34.47,0.063,
P07,W24,24,abstract,64.03,0.697,880.0
P08,W01,1,concrete,67.62,0.231,996.4
P08,W02,2,concrete,54.62,0.87,1041.7
P08,W03,3,concrete,53.84,0.824,903.4
P08,W04,4,concrete,34.6,0.217,724.8
P08,W05,5,concrete,55.07,0.203,918.6
P08,W06,6,concrete,65.24,0.14,1173.5
P08,W07,7,concrete,54.7,0.796,907.4
P08,W08,8,concrete,35.94,0.376,838.0
P08,W09,9,concrete,75.63,0.612,891.3
P08,W10,10,concrete,64.67,0.71,940.7
P08,W11,11,concrete,65.07,0.714,1050.5
P08,W12,12,concrete,76.15,0.495,909.5
P08,W13,13,abstract,67.63,0.657,1003.1
P08,W14,14,abstract,44.48,0.676,637.3
P08,W15,15,abstract,44.78,0.881,569.8
P08,W16,16,abstract,35.71,0.24,749.9
P08,W17,17,abstract,36.74,0.415,623.4
P08,W18,18,abstract,46.68,0.754,1310.8
P08,W19,19,abstract,45.63,0.548,689.6
P08,W20,20,abstract,36.85,0.749,984.6
P08,W21,21,abstract,74.03,0.279,944.2
P08,W22,22,abstract,56.98,0.206,830.9
P08,W23,23,abstract,43.96,0.289,976.1
P08,W24,24,abstract,75.72,0.6,939.9
P09,W01,1,concrete,73.82,0.384,1141.4
P09,W02,2,concrete,47.63,0.411,639.3
P09,W03,3,concrete,34.0,0.86,1076.3
P09,W04,4,concrete,66.41,0.816,1005.7
P09,W05,5,concrete,62.46,0.562,925.7
P09,W06,6,concrete,34.66,0.816,815.1
P09,W07,7,concrete,45.42,0.433,1128.2
P09,W08,8,concrete,56.37,0.411,1018.6
P09,W09,9,concrete,54.47,0.266,-99.0
P09,W10,10,concrete,56.12,0.279,944.7
P09,W11,11,concrete,75.39,0.613,975.0
P09,W12,12,concrete,63.9,0.537,836.3
P09,W13,13,abstract,54.72,0.516,905.3
P09,W14,14,abstract,,0.425,656.5
P09,W15,15,abstract,35.57,0.85,916.7
P09,W16,16,abstract,37.21,0.406,1536.8
P09,W17,17,abstract,65.29,0.509,1190.1
P09,W18,18,abstract,46.47,0.507,809.4
P09,W19,19,abstract,45.48,0.718,840.4
P09,W20,20,abstract,75.38,0.896,879.5
P09,W21,21,abstract,36.59,0.212,772.6
P09,W22,22,abstract,64.21,0.315,629.6
P09,W23,23,abstract,54.31,0.374,1098.7
P09,W24,24,abstract,43.98,0.837,880.9
P10,W01,1,concrete,66.65,0.552,1084.2
P10,W02,2,concrete,44.16,0.304,631.0
P10,W03,3,concrete,64.74,0.307,587.1
P10,W04,4,concrete,,0.143,817.2
P10,W05,5,concrete,44.35,0.745,435.1
P10,W06,6,concrete,54.74,0.554,716.8
P10,W07,7,concrete,55.1,0.137,822.3
P10,W08,8,concrete,73.96,0.054,852.2
P10,W09,9,concrete,54.38,0.403,668.3
P10,W10,10,concrete,46.49,0.133,665.3
P10,W11,11,concrete,36.61,0.582,843.8
P10,W12,12,concrete,56.79,0.82,638.6
P10,W13,13,abstract,55.67,0.58,805.5
P10,W14,14,abstract,33.52,0.767,518.6
P10,W15,15,abstract,75.08,0.898,474.7
P10,W16,16,abstract,63.84,0.305,427.9
P10,W17,17,abstract,33.96,0.379,655.6
P10,W18,18,abstract,64.96,0.313,996.9
P10,W19,19,abstract,35.38,0.425,430.1
P10,W20,20,abstract,45.93,0.698,630.1
P10,W21,21,abstract,65.12,0.835,676.7
P10,W22,22,abstract,74.33,0.273,635.6
P10,W23,23,abstract,33.78,0.852,656.4
P10,W24,24,abstract,74.87,0.694,807.6
P11,W01,1,concrete,76.45,0.665,881.6
P11,W02,2,concrete,66.08,0.462,657.0
P11,W03,3,concrete,34.83,0.588,597.7
P11,W04,4,concrete,66.61,0.308,474.2
P11,W05,5,concrete,57.6,0.456,981.7
P11,W06,6,concrete,66.43,0.743,697.5
P11,W07,7,concrete,43.53,0.915,762.4
P11,W08,8,concrete,65.9,0.304,1277.4
P11,W09,9,concrete,54.19,0.299,752.3
P11,W10,10,concrete,35.62,0.68,546.6
P11,W11,11,concrete,67.02,0.278,863.8
P11,W12,12,concrete,56.34,0.429,1066.6
P11,W13,13,abstract,74.21,0.225,824.3
P11,W14,14,abstract,45.45,0.529,568.0
P11,W15,15,abstract,34.57,0.374,706.2
P11,W16,16,abstract,74.93,0.48,754.8
P11,W17,17,abstract,43.61,0.501,789.0
P11,W18,18,abstract,45.36,0.109,827.7
P11,W19,19,abstract,44.23,0.356,607.8
P11,W20,20,abstract,34.42,0.455,640.6
P11,W21,21,abstract,55.02,0.4,706.0
P11,W22,22,abstract,75.59,0.468,831.1
P11,W23,23,abstract,54.16,0.16,738.0
P11,W24,24,abstract,32.61,0.567,589.8
P12,W01,1,concrete,52.85,0.644,543.7
P12,W02,2,concrete,63.83,0.869,583.0
P12,W03,3,concrete,35.98,0.514,620.6
P12,W04,4,concrete,35.5,0.341,794.9
P12,W05,5,concrete,74.1,0.583,588.1
P12,W06,6,concrete,44.41,0.633,510.5
P12,W07,7,concrete,36.75,0.871,737.3
P12,W08,8,concrete,54.96,0.527,737.9
P12,W09,9,concrete,36.66,0.397,536.4
P12,W10,10,concrete,62.43,0.824,626.3
P12,W11,11,concrete,36.64,0.466,682.8
P12,W12,12,concrete,72.88,0.091,482.7
P12,W13,13,abstract,64.87,0.658,794.2
P12,W14,14,abstract,65.98,0.97,949.8
P12,W15,15,abstract,45.81,0.157,694.3
P12,W16,16,abstract,75.42,0.403,502.5
P12,W17,17,abstract,64.63,0.508,680.5
P12,W18,18,abstract,45.86,0.686,714.0
P12,W19,19,abstract,43.89,0.605,559.0
P12,W20,20,abstract,-10.0,0.448,622.9
P12,W21,21,abstract,44.84,0.587,365.6
P12,W22,22,abstract,75.72,0.61,460.0
P12,W23,23,abstract,55.56,0.593,
P12,W24,24,abstract,55.76,0.638,406.7
P13,W01,1,concrete,34.1,0.716,618.8
P13,W02,2,concrete,53.75,0.33,359.1
P13,W03,3,concrete,65.25,0.837,686.6
P13,W04,4,concrete,34.95,0.64,457.6
P13,W05,5,concrete,76.66,0.733,414.8
P13,W06,6,concrete,54.65,0.478,616.1
P13,W07,7,concrete,75.27,0.374,400.7
P13,W08,8,concrete,36.34,0.484,657.4
P13,W09,9,concrete,35.62,0.359,441.0
P13,W10,10,concrete,45.16,0.877,326.1
P13,W11,11,concrete,44.39,0.615,640.7
P13,W12,12,concrete,66.5,0.518,525.2
P13,W13,13,abstract,63.02,0.554,630.3
P13,W14,14,abstract,44.53,0.917,599.8
P13,W15,15,abstract,75.06,0.286,528.1
P13,W16,16,abstract,65.99,0.101,399.6
P13,W17,17,abstract,53.92,0.405,618.3
P13,W18,18,abstract,54.6,0.781,456.5
P13,W19,19,abstract,44.53,0.376,466.0
P13,W20,20,abstract,35.93,0.319,444.8
P13,W21,21,abstract,74.63,0.816,408.3
P13,W22,22,abstract,54.16,0.231,283.5
P13,W23,23,abstract,45.85,0.4,498.6
P13,W24,24,abstract,65.39,0.286,578.8
P14,W01,1,concrete,34.09,0.595,639.7
P14,W02,2,concrete,55.28,0.402,615.9
P14,W03,3,concrete,66.12,0.228,685.7
P14,W04,4,concrete,33.63,0.855,724.1
P14,W05,5,concrete,46.64,0.302,623.0
P14,W06,6,concrete,74.82,0.513,-1.0
P14,W07,7,concrete,74.78,0.555,706.0
P14,W08,8,concrete,75.34,0.286,782.6
P14,W09,9,concrete,53.93,0.709,806.5
P14,W10,10,concrete,65.18,0.62,626.2
P14,W11,11,concrete,65.01,0.197,612.9
P14,W12,12,concrete,888.0,0.655,687.8
P14,W13,13,abstract,55.77,0.346,1250.0
P14,W14,14,abstract,45.18,0.459,794.4
P14,W15,15,abstract,55.38,0.438,559.1
P14,W16,16,abstract,73.99,0.853,636.0
P14,W17,17,abstract,65.4,0.299,974.5
P14,W18,18,abstract,35.54,0.73,964.4
P14,W19,19,abstract,34.99,0.605,479.2
P14,W20,20,abstract,54.77,0.27,659.4
P14,W21,21,abstract,64.28,0.565,656.7
P14,W22,22,abstract,45.44,0.407,932.8
P14,W23,23,abstract,43.83,0.172,794.3
P14,W24,24,abstract,46.34,0.206,449.5
P15,W01,1,concrete,34.97,0.639,760.4
P15,W02,2,concrete,73.17,0.43,661.8
P15,W03,3,concrete,64.42,0.28,734.2
P15,W04,4,concrete,35.64,0.471,88888.0
P15,W05,5,concrete,64.17,0.518,518.3
P15,W06,6,concrete,65.69,0.506,796.4
P15,W07,7,concrete,66.11,0.648,821.7
P15,W08,8,concrete,53.67,0.047,639.0
P15,W09,9,concrete,74.58,0.525,1030.5
P15,W10,10,concrete,45.42,0.367,626.4
P15,W11,11,concrete,46.04,0.445,556.1
P15,W12,12,concrete,76.78,0.941,658.0
P15,W13,13,abstract,53.99,0.486,872.9
P15,W14,14,abstract,56.07,0.561,811.8
P15,W15,15,abstract,65.96,0.578,692.8
P15,W16,16,abstract,999.0,0.286,669.3
P15,W17,17,abstract,75.82,0.484,1006.2
P15,W18,18,abstract,44.8,0.505,659.4
P15,W19,19,abstract,34.83,0.379,534.9
P15,W20,20,abstract,55.97,0.439,919.2
P15,W21,21,abstract,34.08,0.126,820.2
P15,W22,22,abstract,54.78,0.68,757.0
P15,W23,23,abstract,45.89,0.401,538.3
P15,W24,24,abstract,36.11,0.36,368.2
P16,W01,1,concrete,54.95,0.709,1412.9
P16,W02,2,concrete,53.97,0.25,982.8
P16,W03,3,concrete,64.54,0.244,660.8
P16,W04,4,concrete,65.3,0.65,1237.9
P16,W05,5,concrete,46.25,0.261,934.2
P16,W06,6,concrete,74.69,0.461,1191.7
P16,W07,7,concrete,33.9,0.884,1545.7
P16,W08,8,concrete,37.58,0.143,936.5
P16,W09,9,concrete,44.36,0.54,943.8
P16,W10,10,concrete,54.87,0.483,950.5
P16,W11,11,concrete,65.23,0.288,1069.7
P16,W12,12,concrete,54.87,0.203,1257.5
P16,W13,13,abstract,76.43,0.384,1288.7
P16,W14,14,abstract,35.35,0.501,793.5
P16,W15,15,abstract,34.5,0.627,800.3
P16,W16,16,abstract,74.76,0.7,795.6
P16,W17,17,abstract,44.73,0.805,952.3
P16,W18,18,abstract,74.97,0.267,1049.7
P16,W19,19,abstract,45.57,0.599,654.6
P16,W20,20,abstract,64.37,0.466,1072.7
P16,W21,21,abstract,34.41,0.897,
P16,W22,22,abstract,54.04,0.618,1147.0
P16,W23,23,abstract,44.94,0.236,792.0
P16,W24,24,abstract,66.1,0.526,747.3
P17,W01,1,concrete,65.69,0.446,743.3
P17,W02,2,concrete,45.67,0.556,658.9
P17,W03,3,concrete,74.7,0.224,628.3
P17,W04,4,concrete,34.91,0.389,494.1
P17,W05,5,concrete,35.85,0.306,652.9
P17,W06,6,concrete,76.71,0.362,745.8
P17,W07,7,concrete,44.54,0.305,607.4
P17,W08,8,concrete,64.39,0.736,652.6
P17,W09,9,concrete,64.62,0.781,523.9
P17,W10,10,concrete,53.16,0.76,514.6
P17,W11,11,concrete,75.25,0.846,426.7
P17,W12,12,concrete,53.35,0.932,899.7
P17,W13,13,abstract,55.55,0.896,782.8
P17,W14,14,abstract,44.57,0.906,591.5
P17,W15,15,abstract,45.7,0.325,503.7
P17,W16,16,abstract,34.92,0.523,697.3
P17,W17,17,abstract,65.93,0.609,868.1
P17,W18,18,abstract,66.44,0.719,874.2
P17,W19,19,abstract,34.29,0.11,404.1
P17,W20,20,abstract,57.22,0.358,557.7
P17,W21,21,abstract,35.45,0.249,514.4
P17,W22,22,abstract,54.4,0.674,472.1
P17,W23,23,abstract,75.04,0.766,553.6
P17,W24,24,abstract,-5.0,0.667,631.7
P18,W01,1,concrete,74.17,0.67,828.6
P18,W02,2,concrete,44.9,0.459,965.0
P18,W03,3,concrete,73.04,0.503,753.0
P18,W04,4,concrete,55.84,0.791,571.1
P18,W05,5,concrete,35.92,0.193,629.2
P18,W06,6,concrete,65.89,0.189,1570.1
P18,W07,7,concrete,36.67,0.278,840.0
P18,W08,8,concrete,66.54,0.098,954.1
P18,W09,9,concrete,63.83,0.347,628.2
P18,W10,10,concrete,34.97,0.503,1083.1
P18,W11,11,concrete,45.66,0.699,833.3
P18,W12,12,concrete,74.34,0.387,969.6
P18,W13,13,abstract,45.65,0.497,806.0
P18,W14,14,abstract,55.37,0.567,462.6
P18,W15,15,abstract,44.53,0.28,854.7
P18,W16,16,abstract,63.86,0.755,623.3
P18,W17,17,abstract,54.64,0.283,1237.8
P18,W18,18,abstract,36.66,0.566,548.5
P18,W19,19,abstract,65.23,0.393,571.8
P18,W20,20,abstract,35.62,0.957,0.0
P18,W21,21,abstract,44.13,0.276,1259.4
P18,W22,22,abstract,75.9,0.837,607.7
P18,W23,23,abstract,55.1,0.323,755.0
P18,W24,24,abstract,56.18,0.489,600.6
P19,W01,1,concrete,75.13,0.534,873.4
P19,W02,2,concrete,35.44,0.384,537.9
P19,W03,3,concrete,64.68,0.747,582.4
P19,W04,4,concrete,43.4,0.729,872.8
P19,W05,5,concrete,33.85,0.383,807.5
P19,W06,6,concrete,77.03,0.349,1124.1
P19,W07,7,concrete,65.01,0.783,727.8
P19,W08,8,concrete,65.53,0.396,887.8
P19,W09,9,concrete,64.25,0.379,626.8
P19,W10,10,concrete,53.66,0.036,
P19,W11,11,concrete,45.35,0.103,881.6
P19,W12,12,concrete,75.52,0.421,-99.0
P19,W13,13,abstract,33.19,0.663,758.6
P19,W14,14,abstract,54.92,0.412,853.2
P19,W15,15,abstract,56.74,0.211,629.4
P19,W16,16,abstract,34.35,0.49,602.2
P19,W17,17,abstract,53.65,0.149,1027.7
P19,W18,18,abstract,76.9,0.552,1062.3
P19,W19,19,abstract,56.29,0.711,847.8
P19,W20,20,abstract,44.56,0.182,774.1
P19,W21,21,abstract,42.89,0.661,717.1
P19,W22,22,abstract,46.05,0.393,816.5
P19,W23,23,abstract,35.57,0.319,538.9
P19,W24,24,abstract,66.44,0.382,738.8
P20,W01,1,concrete,35.66,0.381,611.8
P20,W02,2,concrete,62.93,0.358,433.1
P20,W03,3,concrete,55.24,0.14,566.0
P20,W04,4,concrete,75.0,0.666,724.2
P20,W05,5,concrete,54.66,0.342,642.2
P20,W06,6,concrete,64.03,0.449,658.3
P20,W07,7,concrete,43.69,0.845,877.1
P20,W08,8,concrete,42.9,0.152,551.6
P20,W09,9,concrete,35.38,0.515,690.7
P20,W10,10,concrete,76.08,0.616,667.4
P20,W11,11,concrete,44.9,0.242,701.8
P20,W12,12,concrete,56.34,0.648,555.8
P20,W13,13,abstract,73.58,0.628,1127.5
P20,W14,14,abstract,54.26,0.642,813.7
P20,W15,15,abstract,34.98,0.414,819.2
P20,W16,16,abstract,125.0,0.292,786.1
P20,W17,17,abstract,44.02,0.375,1000.7
P20,W18,18,abstract,65.7,0.309,1038.7
P20,W19,19,abstract,35.41,0.777,682.8
P20,W20,20,abstract,63.2,0.445,1076.0
P20,W21,21,abstract,54.69,0.365,747.5
P20,W22,22,abstract,44.68,0.663,531.3
P20,W23,23,abstract,65.94,0.568,936.4
P20,W24,24,abstract,33.39,0.534,539.1
P21,W01,1,concrete,31.81,0.464,434.2
P21,W02,2,concrete,54.55,0.483,557.3
P21,W03,3,concrete,45.53,0.448,419.0
P21,W04,4,concrete,56.64,0.492,629.0
P21,W05,5,concrete,35.21,0.466,389.6
P21,W06,6,concrete,76.1,0.166,533.7
P21,W07,7,concrete,66.33,0.587,870.3
P21,W08,8,concrete,65.38,0.377,936.6
P21,W09,9,concrete,34.83,0.326,487.8
P21,W10,10,concrete,55.62,0.643,553.7
P21,W11,11,concrete,33.38,0.201,577.3
P21,W12,12,concrete,46.15,0.36,524.5
P21,W13,13,abstract,36.87,0.388,696.1
P21,W14,14,abstract,44.93,0.358,493.4
P21,W15,15,abstract,65.38,0.748,764.1
P21,W16,16,abstract,,0.824,387.8
P21,W17,17,abstract,53.74,0.303,649.4
P21,W18,18,abstract,63.67,0.324,746.5
P21,W19,19,abstract,55.04,0.279,572.3
P21,W20,20,abstract,76.44,0.376,607.4
P21,W21,21,abstract,63.81,0.317,404.9
P21,W22,22,abstract,75.17,0.502,521.5
P21,W23,23,abstract,45.34,0.73,640.4
P21,W24,24,abstract,76.63,0.809,578.7
P22,W01,1,concrete,75.37,0.403,928.5
P22,W02,2,concrete,33.39,0.48,1082.2
P22,W03,3,concrete,54.79,0.093,848.7
P22,W04,4,concrete,54.6,0.2,863.0
P22,W05,5,concrete,47.78,0.756,741.1
P22,W06,6,concrete,44.38,0.677,1106.9
P22,W07,7,concrete,33.19,0.606,1078.3
P22,W08,8,concrete,55.39,0.58,1167.4
P22,W09,9,concrete,65.4,0.167,880.9
P22,W10,10,concrete,64.73,0.462,830.8
P22,W11,11,concrete,75.02,0.632,1366.8
P22,W12,12,concrete,44.25,0.609,629.6
P22,W13,13,abstract,72.03,0.378,1532.6
P22,W14,14,abstract,45.12,0.399,755.3
P22,W15,15,abstract,37.46,0.266,807.0
P22,W16,16,abstract,54.76,0.335,1183.8
P22,W17,17,abstract,34.67,0.462,1076.6
P22,W18,18,abstract,64.43,0.704,961.7
P22,W19,19,abstract,56.42,0.495,819.5
P22,W20,20,abstract,45.96,0.06,1584.8
P22,W21,21,abstract,66.17,0.487,782.6
P22,W22,22,abstract,34.22,0.838,706.5
P22,W23,23,abstract,75.34,0.313,1362.9
P22,W24,24,abstract,66.3,0.39,696.7
P23,W01,1,concrete,54.06,0.257,913.1
P23,W02,2,concrete,74.62,0.236,1033.7
P23,W03,3,concrete,76.14,0.144,818.1
P23,W04,4,concrete,33.87,0.252,651.4
P23,W05,5,concrete,34.94,0.68,554.7
P23,W06,6,concrete,44.1,0.486,
P23,W07,7,concrete,63.03,0.755,840.6
P23,W08,8,concrete,66.09,0.631,644.6
P23,W09,9,concrete,53.71,0.513,604.1
P23,W10,10,concrete,36.22,0.224,724.9
P23,W11,11,concrete,45.44,0.653,664.8
P23,W12,12,concrete,44.92,0.577,120000.0
P23,W13,13,abstract,43.51,0.828,753.8
P23,W14,14,abstract,65.26,0.425,693.8
P23,W15,15,abstract,46.03,0.714,738.8
P23,W16,16,abstract,55.8,0.764,
P23,W17,17,abstract,34.82,0.111,824.3
P23,W18,18,abstract,74.87,0.082,923.7
P23,W19,19,abstract,62.96,0.918,592.4
P23,W20,20,abstract,56.1,0.508,856.1
P23,W21,21,abstract,64.65,0.208,
P23,W22,22,abstract,56.0,0.359,818.1
P23,W23,23,abstract,34.53,0.217,699.8
P23,W24,24,abstract,75.21,0.666,719.4
P24,W01,1,concrete,74.84,0.545,1061.9
P24,W02,2,concrete,35.09,0.428,586.4
P24,W03,3,concrete,46.19,0.352,651.2
P24,W04,4,concrete,140.0,0.585,822.2
P24,W05,5,concrete,35.88,0.512,610.5
P24,W06,6,concrete,54.62,0.386,626.0
P24,W07,7,concrete,65.84,0.547,
P24,W08,8,concrete,65.6,0.166,773.8
P24,W09,9,concrete,36.58,0.288,707.0
P24,W10,10,concrete,66.6,0.671,941.9
P24,W11,11,concrete,73.85,0.162,558.1
P24,W12,12,concrete,74.09,0.237,713.0
P24,W13,13,abstract,67.01,0.916,1027.7
P24,W14,14,abstract,53.34,0.615,448.7
P24,W15,15,abstract,64.85,0.368,979.1
P24,W16,16,abstract,33.91,0.563,492.0
P24,W17,17,abstract,58.45,0.485,681.0
P24,W18,18,abstract,56.23,0.808,637.6
P24,W19,19,abstract,44.31,0.772,399.5
P24,W20,20,abstract,53.04,0.812,430.0
P24,W21,21,abstract,46.38,0.728,554.6
P24,W22,22,abstract,43.83,0.81,635.2
P24,W23,23,abstract,45.42,0.851,719.3
P24,W24,24,abstract,75.99,0.27,618.7
P25,W01,1,concrete,54.05,0.547,1527.6
P25,W02,2,concrete,75.83,0.472,939.1
P25,W03,3,concrete,54.34,0.194,785.2
